trial_id,uuid,detected,detected_start,detected_end,detected_duration_s,median_RSSI,max_RSSI
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T14:09:26.645647,2025-09-18T14:09:27.609534,0.963887,-79.0,-79.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,True,2025-09-18T14:15:09.124941,2025-09-18T14:15:10.220458,1.095517,-79.0,-79.0
Trial_006,bbbe7f51-5630-4df7-bd19-84c2ecea35f3,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_001,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_002,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_003,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
